Interest_Rate,Delay_from_due_date,Payment_of_Min_Amount,Outstanding_Debt,Num_Credit_Inquiries,Num_of_Delayed_Payment,Num_of_Loan,Credit_Utilization_Ratio, Num_Bank_Accounts,Num_Credit_Card,Credit_Mix,Credit_History_Age,Credit_Score
7,0,No,0.23,1,8,3,24.09587876,0,6,Good,30.33333333,Good
7,0,No,0.23,1,8,3,22.76010215,0,2,Good,26,Good
7,0,No,0.23,1,8,3,40.70448502,0,4,Standard,31.41666667,Good
7,0,NM,0.23,1,8,3,37.45185916,0,6,Standard,29.5,Standard
7,0,No,0.23,1,8,3,31.83822096,0,5,Good,28.83333333,Good
7,0,No,0.23,1,8,3,27.45953322,0,6,Good,24.16666667,Good
7,0,No,0.23,1,8,3,28.89072801,0,4,Standard,31.25,Good
19,13,Yes,0.34,8,20,7,38.50748529,8,7,Good,30.75,Standard
19,13,Yes,0.34,8,22,7,30.70328214,8,1,Good,18,Standard
19,13,Yes,0.34,8,21,7,24.70306978,8,5,Good,16.25,Standard
19,16,Yes,0.34,0,17,0,35.29617475,8,4,Good,16.5,Standard
19,13,NM,0.34,8,20,7,27.10050877,8,1,Good,16.33333333,Standard
19,13,Yes,0.34,8,20,7,27.37591329,8,3,Good,0,Standard
11,23,No,0.54,0,3,3,23.76690076,2,5,Good,13.75,Poor
11,26,No,0.54,0,3,3,34.35426854,2,3,Standard,27.33333333,Poor
11,23,No,0.54,2,3,3,34.02347992,2,9,Bad,11.08333333,Standard
11,23,NM,0.54,2,1,3,28.81226208,2,6,Standard,18.58333333,Poor
11,23,No,0.54,2,3,3,24.86338703,2,7,Standard,12.83333333,Standard
11,23,No,0.54,2,2,0,34.62351475,2,10,Standard,13.75,Poor
11,23,No,0.54,2,0,3,36.70245214,2,6,Bad,11.58333333,Standard
11,26,No,0.54,2,1,3,38.38491658,2,7,Good,9.25,Poor
6,25,Yes,0.56,5,8,4,24.04414564,8,7,Good,29.33333333,Standard
6,31,Yes,0.56,5,10,4,37.98595704,8,5,Good,16.41666667,Standard
6,27,Yes,0.56,5,7,4,36.18804818,8,1,Good,29,Standard
6,27,Yes,0.56,5,8,4,38.86980319,8,4,Good,21.25,Poor
6,23,NM,0.56,5,11,4,23.39470043,8,5,Standard,30,Standard
6,24,NM,0.56,5,8,4,38.63003206,8,3,Standard,17.91666667,Standard
6,27,Yes,0.56,5,8,4,28.51496498,8,7,Good,0,Standard
6,27,Yes,0.56,5,8,4,31.22515097,8,7,Good,20.33333333,Standard
1,8,No,0.77,4,2,0,29.23337214,4,6,Bad,9.083333333,Standard
1,7,No,0.77,4,0,0,37.56425193,4,5,Standard,21.08333333,Standard
1,5,No,0.77,4,3,0,32.93568608,4,7,Bad,0,Standard
1,5,No,0.77,4,4,0,34.23636553,4,9,Bad,6.5,Poor
1,4,No,0.77,4,5,0,31.47072461,4,5,Standard,9.833333333,Poor
1,2,No,0.77,4,4,0,39.74627256,4,7,Standard,17.58333333,Poor
1,5,No,0.77,4,3,0,40.22587829,4,5,Standard,11.91666667,Standard
