iter	MultiClass
0	1.080298816
1	1.062942243
2	1.046562783
3	1.031365044
4	1.016993117
5	1.003710163
6	0.9914744689
7	0.9797160708
8	0.968778542
9	0.9582622974
10	0.9483153016
11	0.9386894477
12	0.9298077731
13	0.9212067607
14	0.9130719273
15	0.9052410838
16	0.897848092
17	0.8909946422
18	0.8842195033
19	0.8777952927
20	0.8720460766
21	0.8662466406
22	0.8604303631
23	0.854944029
24	0.849874754
25	0.8447087069
26	0.8400565847
27	0.8355807423
28	0.831343128
29	0.8275372879
30	0.8236649424
31	0.8201739551
32	0.8166463764
33	0.8132496695
34	0.809759873
35	0.8067703305
36	0.8035919853
37	0.8005231893
38	0.7974905774
39	0.7947580614
40	0.7919892591
41	0.7892399537
42	0.7867782627
43	0.7843390102
44	0.7819750558
45	0.7798488272
46	0.7777279969
47	0.7758046588
48	0.7737879701
49	0.7721323169
50	0.7704008972
51	0.7684269799
52	0.7667057044
53	0.7649001009
54	0.7633534061
55	0.7619824964
56	0.7604143778
57	0.7590827809
58	0.757713992
59	0.7564497358
60	0.7553895779
61	0.754146975
62	0.7530319933
63	0.7518405996
64	0.750597264
65	0.749525368
66	0.748509808
67	0.7473677429
68	0.7462814549
69	0.7454206439
70	0.7446663033
71	0.7437861693
72	0.7429294764
73	0.7421197322
74	0.7415205366
75	0.7406836685
76	0.7399710144
77	0.7391232295
78	0.738447353
79	0.7378360798
80	0.7373084652
81	0.7366423923
82	0.7359461271
83	0.7352931181
84	0.7347781907
85	0.7341954187
86	0.7336815592
87	0.7332473503
88	0.7328563363
89	0.732346956
90	0.7319625419
91	0.7314876697
92	0.7309637005
93	0.730567417
94	0.7301072986
95	0.7298025074
96	0.7294265948
97	0.7290109458
98	0.7285786392
99	0.728225201
100	0.7278869743
101	0.7275287532
102	0.7273032488
103	0.72703902
104	0.7267583936
105	0.7264576527
106	0.7261045479
107	0.7258273769
108	0.7255074452
109	0.7252525342
110	0.7249765018
111	0.7247157003
112	0.7244793921
113	0.7242289415
114	0.7241449877
115	0.723931648
116	0.7237200593
117	0.7234829507
118	0.7233208669
119	0.7231119023
