iter	Passed	Remaining
0	218	217992
1	354	176760
2	568	188910
3	702	175001
4	831	165503
5	1100	182367
6	1267	179825
7	1559	193381
8	1819	200339
9	2071	205073
10	2340	210469
11	2620	215730
12	2830	214915
13	3083	217172
14	3340	219390
15	3595	221138
16	4003	231518
17	4247	231739
18	4504	232564
19	4778	234145
20	5025	234305
21	5256	233659
22	5484	232984
23	5722	232734
24	6053	236076
25	6261	234575
26	6505	234436
27	6634	230301
28	6792	227435
29	6940	224402
30	7075	221155
31	7304	220963
32	7442	218094
33	7668	217875
34	7798	215003
35	8165	218641
36	8317	216473
37	8542	216261
38	8807	217023
39	9060	217452
40	9257	216543
41	9493	216544
42	9655	214898
43	9894	214970
44	10121	214807
45	10375	215175
46	10600	214934
47	10850	215209
48	11111	215661
49	11282	214375
50	11435	212783
51	12161	221711
52	12301	219804
53	12530	219520
54	12667	217656
55	12883	217171
56	12813	211988
57	13325	216424
58	13207	210646
59	13433	210463
60	13683	210640
61	13912	210476
62	14167	210717
63	14372	210202
64	14625	210381
65	14866	210386
66	15036	209382
67	15224	208663
68	15509	209260
69	15750	209261
70	15969	208957
71	16199	208793
72	16507	209620
73	16721	209240
74	16923	208725
75	17255	209791
76	17391	208470
77	17606	208119
78	17811	207650
79	17925	206148
80	18148	205910
81	18377	205740
82	18644	205988
83	18854	205601
84	19064	205224
85	19275	204857
86	19399	203578
87	19580	202929
88	19771	202380
89	20025	202478
90	20232	202102
91	20448	201819
92	20660	201496
93	20864	201095
94	21081	200827
95	21281	200401
96	21496	200117
97	21689	199629
98	21892	199240
99	22018	198170
100	22203	197636
101	22375	196993
102	22575	196606
103	22712	195673
104	22975	195842
105	23178	195486
106	23396	195259
107	23516	194224
108	23811	194645
109	24013	194287
110	24139	193331
111	24263	192374
112	24459	191997
113	24669	191733
114	24894	191580
115	25088	191189
116	25291	190873
117	25584	191233
118	25815	191123
119	26030	190888
120	26223	190499
121	26349	189628
122	26526	189135
123	26875	189863
124	27128	189898
125	27231	188889
126	27518	189165
127	27720	188844
128	27854	188072
129	28049	187715
130	28235	187301
131	28427	186931
132	28632	186651
133	28853	186473
134	29040	186076
135	29223	185652
136	29420	185325
137	29597	184876
138	29718	184084
139	29907	183717
140	30067	183177
141	30264	182863
142	30438	182419
143	30658	182249
144	30788	181546
145	30960	181098
146	31131	180649
147	31352	180490
148	31450	179625
149	31650	179353
150	31797	178780
151	31966	178339
152	32145	177957
153	32252	177180
154	32386	176560
155	32585	176297
156	32687	175511
157	32893	175294
158	33076	174949
159	33270	174672
160	33429	174208
161	33531	173455
162	33746	173287
163	33887	172741
164	34020	172161
165	34127	171460
166	34281	170998
167	34440	170561
168	34749	170870
169	34872	170257
170	35018	169767
171	34923	168121
172	35085	167719
173	35229	167239
174	35392	166851
175	35553	166457
176	35740	166181
177	35888	165730
178	36077	165471
179	36235	165072
180	36401	164709
181	36557	164309
182	36759	164113
183	36931	163784
184	37038	163169
185	37207	162832
186	37347	162370
187	37420	161626
188	37826	162313
189	37747	160923
190	38161	161634
191	38324	161283
192	38474	160873
193	38641	160540
194	38738	159919
195	38854	159381
196	38941	158732
197	39081	158301
198	39241	157950
199	39367	157468
200	39509	157056
201	39655	156660
202	39781	156186
203	39940	155847
204	40070	155394
205	40185	154891
206	40314	154440
207	40465	154081
208	40611	153701
209	40703	153122
210	40550	151633
211	40677	151195
212	40792	150722
213	40915	150276
214	41026	149794
215	41139	149319
216	41251	148846
217	41340	148294
218	41418	147708
219	41816	148258
220	41918	147759
221	41733	146255
222	42172	146943
223	42276	146456
224	42378	145968
225	42479	145482
226	42587	145020
