Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Mortgage Loan,Not Specified,Personal Loan,Debt Consolidation Loan,Credit-Builder Loan,Payday Loan,Home Equity Loan,Auto Loan,Student Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
38.0,86142.96,7274.58,0,1.0,7.0,3.0,2.0,1.0,,,,,,,,0.0,8.0,0.68,1.0,Good,27.94,24.09587876,20,No,115.8920371,536.1827436,LowspentLargevaluepayments,345.3832193,Good
38.0,86142.96,7274.58,0,1.0,7.0,3.0,2.0,1.0,,,,,,,,0.0,8.0,0.68,1.0,Good,27.94,22.76010215,21,No,5405.460000000196,635.4602434,,266.1057195,Good
38.0,86142.96,7274.58,0,1.0,7.0,3.0,2.0,1.0,,,,,,,,0.0,8.0,0.68,1.0,Good,27.94,40.70448502,21,No,115.8920371,220.1326102,HighspentMediumvaluepayments,641.4333527,Good
38.0,86142.96,7274.58,0,1.0,7.0,3.0,2.0,1.0,,,,,,,,0.0,8.0,0.68,1.0,Good,27.94,37.45185916,21,NM,115.8920371,447.3215341,LowspentMediumvaluepayments,444.2444288,Standard
38.0,86142.96,7274.58,0,1.0,7.0,3.0,2.0,1.0,,,,,,,,0.0,8.0,4.68,1.0,Good,27.94,31.83822096,21,No,115.8920371,675.9238632,LowspentMediumvaluepayments,215.6420996,Good
38.0,86142.96,7274.58,0,1.0,7.0,3.0,2.0,1.0,,,,,,,,0.0,8.0,0.68,1.0,,27.94,27.45953322,21,No,115.8920371,247.964219,LowspentSmallvaluepayments,653.6017439,Good
38.0,86142.96,0.0,0,1.0,7.0,3.0,2.0,1.0,,,,,,,,0.0,8.0,1.68,1.0,,27.94,28.89072801,21,No,115.8920371,150.3126138,HighspentLargevaluepayments,701.253349,Good
42.0,85688.49,7208.7075,8,3.0,19.0,7.0,,,3.0,1.0,2.0,1.0,,,,13.0,20.0,12.71,8.0,Standard,27.94,38.50748529,15,Yes,461.1396231,177.8782483,HighspentMediumvaluepayments,331.8528786,Standard
42.0,85688.49,7208.7075,8,3.0,19.0,7.0,,,3.0,1.0,2.0,1.0,,,,13.0,22.0,15.71,8.0,Standard,27.94,30.70328214,15,Yes,461.1396231,105.3220915,HighspentLargevaluepayments,394.4090354,Standard
42.0,85688.49,7208.7075,8,3.0,19.0,7.0,,,3.0,1.0,2.0,1.0,,,,13.0,21.0,9.71,8.0,Standard,27.94,24.70306978,0,Yes,461.1396231,81.5388886,HighspentLargevaluepayments,418.1922383,Standard
42.0,85688.49,7208.7075,8,3.0,19.0,0.0,,,3.0,1.0,2.0,1.0,,,,16.0,17.0,13.71,0.0,Standard,27.94,35.29617475,16,Yes,461.1396231,480.3047748,LowspentMediumvaluepayments,59.42635211,Standard
42.0,85688.49,7208.7075,8,3.0,19.0,7.0,,,3.0,1.0,2.0,1.0,,,,13.0,20.0,12.71,8.0,Standard,27.94,27.10050877,16,NM,461.1396231,0.0,HighspentSmallvaluepayments,296.5675091,Standard
42.0,85688.49,7208.7075,8,3.0,19.0,7.0,,,3.0,1.0,2.0,1.0,,,,13.0,20.0,12.71,8.0,Standard,27.94,27.37591329,16,Yes,461.1396231,455.2494784,LowspentLargevaluepayments,74.48164857,Standard
