Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Mortgage Loan,Not Specified,Personal Loan,Debt Consolidation Loan,Credit-Builder Loan,Payday Loan,Home Equity Loan,Auto Loan,Student Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
38,86142.96,0,0,1,7,3,2,1,,,,,,,,0,8,1.68,1,,27.94,28.89072801,21,No,115.8920371,150.3126138,HighspentLargevaluepayments,701.253349,Good
42,85688.49,7208.7075,8,3,19,7,,,3,1,2,1,,,,13,20,12.71,8,Standard,27.94,38.50748529,15,Yes,461.1396231,177.8782483,HighspentMediumvaluepayments,331.8528786,Standard
34,129561.96,10827.83,2,3,11,3,,,,,,1,2,,,23,3,6.65,0,Good,27.94,23.76690076,32,No,220.5877276,641.3383988,LowspentLargevaluepayments,490.8568736,Poor
40,10585.1,590.0916667,8,4,6,4,,,1,,,1,,2,,25,8,6.85,5,Standard,27.94,24.04414564,12,Yes,29.54163737,18.97006594,HighspentMediumvaluepayments,260.4974634,Standard
21,118386.4,0,4,6,1,0,,,,,,,,,,8,2,7.71,4,Good,27.94,29.23337214,0,No,0,186.4298026,HighspentMediumvaluepayments,1076.223531,Standard
58,43426.9,3497.908333,1,6,2,4,,1,,1,,1,,1,,12,9,8.35,4,Good,27.94,30.38649836,31,No,98.63146393,72.5067688,HighspentLargevaluepayments,418.6526006,Standard
41,43426.9,3497.908333,1,6,2,4,,1,,1,,1,,1,,7,8,8.35,6,Good,27.94,26.72746379,31,No,98.63146393,184.0872132,,327.0721562,Standard
39,9126.455,490.5379167,10,7,33,5,,,1,,,,2,2,,38,21,28.57,12,,4808.847,34.84912272,9,Yes,33.01629307,50.28345859,LowspentMediumvaluepayments,245.75404,Standard
43,33343.64,3042.636667,7,10,23,6,,,1,,,2,2,1,,44,24,0.56,13,,4808.847,31.88809386,0,Yes,88.36118164,232.5918234,LowspentLargevaluepayments,253.3106616,Poor
24,16848804,3797.351204,7,6,31,8,,,,2,2,,2,1,1,22,25,16.11,12,Bad,4808.847,34.6748617,6,Yes,519.8004775,201.5306053,,306.8174629,Good
